[2016-12-23 15:33:28. 14975]SIM[  3] Auth. time use:381548.000000(us)
[2016-12-23 15:33:33.171302]SIM[  3] Auth. time use:534874.000000(us)
[2016-12-23 15:33:38. 35980]SIM[  3] Auth. time use:396552.000000(us)
[2016-12-23 15:33:43. 52599]SIM[  3] Auth. time use:410168.000000(us)
[2016-12-23 15:33:48. 83342]SIM[  3] Auth. time use:438908.000000(us)
[2016-12-23 15:33:53. 35271]SIM[  3] Auth. time use:388842.000000(us)
[2016-12-23 15:33:58.151969]SIM[  3] Auth. time use:503528.000000(us)
[2016-12-23 15:34:03.100616]SIM[  3] Auth. time use:449186.000000(us)
[2016-12-23 15:34:08. 88754]SIM[  3] Auth. time use:434327.000000(us)
[2016-12-23 15:34:13. 40333]SIM[  3] Auth. time use:383902.000000(us)
[2016-12-23 15:34:18. 93685]SIM[  3] Auth. time use:433229.000000(us)
[2016-12-23 15:34:23.130804]SIM[  3] Auth. time use:467370.000000(us)
[2016-12-23 15:34:28.165677]SIM[  3] Auth. time use:499242.000000(us)
[2016-12-23 15:34:33.151725]SIM[  3] Auth. time use:483296.000000(us)
[2016-12-23 15:34:38.114113]SIM[  3] Auth. time use:442686.000000(us)
[2016-12-23 15:34:43.153411]SIM[  3] Auth. time use:479974.000000(us)
[2016-12-23 15:34:48.131473]SIM[  3] Auth. time use:455038.000000(us)
[2016-12-23 15:34:53.102875]SIM[  3] Auth. time use:424447.000000(us)
[2016-12-23 15:34:58. 98022]SIM[  3] Auth. time use:416593.000000(us)
[2016-12-23 15:35:03. 74180]SIM[  3] Auth. time use:390748.000000(us)
[2016-12-23 15:35:08. 92617]SIM[  3] Auth. time use:406352.000000(us)
[2016-12-23 15:35:13. 92233]SIM[  3] Auth. time use:403800.000000(us)
[2016-12-23 15:35:18.111109]SIM[  3] Auth. time use:419678.000000(us)
[2016-12-23 15:35:23.102098]SIM[  3] Auth. time use:407668.000000(us)
[2016-12-23 15:35:28.135214]SIM[  3] Auth. time use:437791.000000(us)
[2016-12-23 15:35:33.162788]SIM[  3] Auth. time use:462355.000000(us)
[2016-12-23 15:35:38.185680]SIM[  3] Auth. time use:482251.000000(us)
[2016-12-23 15:35:43. 86403]SIM[  3] Auth. time use:379970.000000(us)
[2016-12-23 15:35:48.137805]SIM[  3] Auth. time use:429370.000000(us)
[2016-12-23 15:35:53.156776]SIM[  3] Auth. time use:446334.000000(us)
[2016-12-23 15:35:58.189352]SIM[  3] Auth. time use:475069.000000(us)
[2016-12-23 15:36:03.136315]SIM[  3] Auth. time use:420882.000000(us)
[2016-12-23 15:36:08.123979]SIM[  3] Auth. time use:406539.000000(us)
[2016-12-23 15:36:13.114658]SIM[  3] Auth. time use:395227.000000(us)
[2016-12-23 15:36:18.211436]SIM[  3] Auth. time use:489001.000000(us)
[2016-12-23 15:36:23.192245]SIM[  3] Auth. time use:467805.000000(us)
[2016-12-23 15:36:28.213763]SIM[  3] Auth. time use:487322.000000(us)
[2016-12-23 15:36:33.158275]SIM[  3] Auth. time use:428826.000000(us)
[2016-12-23 15:36:38.192606]SIM[  3] Auth. time use:460166.000000(us)
[2016-12-23 15:36:43.223027]SIM[  3] Auth. time use:488586.000000(us)
