[2016-12-24 13:39:16.933084]SIM[  9] Auth. time use:323941.000000(us)
[2016-12-24 13:39:29.937429]SIM[  9] Auth. time use:320284.000000(us)
[2016-12-24 13:39:42.947365]SIM[  9] Auth. time use:323225.000000(us)
[2016-12-24 13:39:55.942515]SIM[  9] Auth. time use:311374.000000(us)
[2016-12-24 13:40:08.952414]SIM[  9] Auth. time use:312274.000000(us)
[2016-12-24 13:40:21.974783]SIM[  9] Auth. time use:327634.000000(us)
[2016-12-24 13:40:34.971627]SIM[  9] Auth. time use:317482.000000(us)
[2016-12-24 13:40:47.971354]SIM[  9] Auth. time use:311214.000000(us)
[2016-12-24 13:41:00.980717]SIM[  9] Auth. time use:314575.000000(us)
[2016-12-24 13:41:13.998297]SIM[  9] Auth. time use:326156.000000(us)
[2016-12-24 13:41:26.999128]SIM[  9] Auth. time use:318979.000000(us)
[2016-12-24 13:41:40.  5392]SIM[  9] Auth. time use:320250.000000(us)
[2016-12-24 13:41:53. 13061]SIM[  9] Auth. time use:319918.000000(us)
[2016-12-24 13:42:06. 20331]SIM[  9] Auth. time use:319187.000000(us)
[2016-12-24 13:42:19. 31502]SIM[  9] Auth. time use:323361.000000(us)
[2016-12-24 13:42:32. 36628]SIM[  9] Auth. time use:320485.000000(us)
[2016-12-24 13:42:45. 42306]SIM[  9] Auth. time use:318161.000000(us)
[2016-12-24 13:42:58. 52218]SIM[  9] Auth. time use:323072.000000(us)
[2016-12-24 13:43:11. 77136]SIM[  9] Auth. time use:340969.000000(us)
[2016-12-24 13:43:24. 66468]SIM[  9] Auth. time use:321320.000000(us)
[2016-12-24 13:43:37. 74489]SIM[  9] Auth. time use:322326.000000(us)
[2016-12-24 13:43:50. 73612]SIM[  9] Auth. time use:315466.000000(us)
[2016-12-24 13:44:03. 83096]SIM[  9] Auth. time use:318948.000000(us)
[2016-12-24 13:44:16. 82770]SIM[  9] Auth. time use:311626.000000(us)
[2016-12-24 13:44:29.100587]SIM[  9] Auth. time use:321429.000000(us)
[2016-12-24 13:44:42.106731]SIM[  9] Auth. time use:321583.000000(us)
[2016-12-24 13:44:55.136116]SIM[  9] Auth. time use:342965.000000(us)
[2016-12-24 13:45:08.133685]SIM[  9] Auth. time use:333385.000000(us)
[2016-12-24 13:45:21.127062]SIM[  9] Auth. time use:317916.000000(us)
[2016-12-24 13:45:34.142140]SIM[  9] Auth. time use:325995.000000(us)
[2016-12-24 13:45:47.161688]SIM[  9] Auth. time use:336545.000000(us)
[2016-12-24 13:46:00.154287]SIM[  9] Auth. time use:321129.000000(us)
[2016-12-24 13:46:13.154952]SIM[  9] Auth. time use:313810.000000(us)
[2016-12-24 13:46:26.163525]SIM[  9] Auth. time use:315384.000000(us)
[2016-12-24 13:46:39.176842]SIM[  9] Auth. time use:320703.000000(us)
[2016-12-24 13:46:52.183823]SIM[  9] Auth. time use:321678.000000(us)
[2016-12-24 13:47:05.187027]SIM[  9] Auth. time use:317882.000000(us)
[2016-12-24 13:47:18.191573]SIM[  9] Auth. time use:316429.000000(us)
[2016-12-24 13:47:31.206346]SIM[  9] Auth. time use:324204.000000(us)
[2016-12-24 13:47:44.201969]SIM[  9] Auth. time use:311825.000000(us)
[2016-12-24 13:47:57.216315]SIM[  9] Auth. time use:320173.000000(us)
[2016-12-24 13:48:10.226699]SIM[  9] Auth. time use:323556.000000(us)
[2016-12-24 13:48:23.232049]SIM[  9] Auth. time use:321905.000000(us)
[2016-12-24 13:48:36.237338]SIM[  9] Auth. time use:319194.000000(us)
[2016-12-24 13:48:49.234092]SIM[  9] Auth. time use:308947.000000(us)
[2016-12-24 13:49:02.247231]SIM[  9] Auth. time use:315086.000000(us)
[2016-12-24 13:49:15.264541]SIM[  9] Auth. time use:322398.000000(us)
[2016-12-24 13:49:28.274397]SIM[  9] Auth. time use:324252.000000(us)
[2016-12-24 13:49:41.281174]SIM[  9] Auth. time use:323033.000000(us)
[2016-12-24 13:49:54.280645]SIM[  9] Auth. time use:315489.000000(us)
[2016-12-24 13:50:07.295597]SIM[  9] Auth. time use:321452.000000(us)
[2016-12-24 13:50:20.297706]SIM[  9] Auth. time use:314563.000000(us)
[2016-12-24 13:50:33.309987]SIM[  9] Auth. time use:320843.000000(us)
[2016-12-24 13:50:46.317258]SIM[  9] Auth. time use:320116.000000(us)
[2016-12-24 13:50:59.321616]SIM[  9] Auth. time use:315474.000000(us)
[2016-12-24 13:51:12.336176]SIM[  9] Auth. time use:323030.000000(us)
[2016-12-24 13:51:25.348633]SIM[  9] Auth. time use:327490.000000(us)
[2016-12-24 13:51:38.355205]SIM[  9] Auth. time use:325060.000000(us)
[2016-12-24 13:51:51.344635]SIM[  9] Auth. time use:306492.000000(us)
